タイトル,住所,dslurl,Webサイト,電話番号,営業時間,rental,longitude,latitude,pref,primary_station,distance_to_primary_station_m,candidate_stations,station_count,ward,primary_area,candidate_areas,article_tags,is_partner,partner_link,partner_priority
Ohana Room Studio新宿,〒162-0801 東京都新宿区山吹町３４４ LOGビル 2F,,https://ohanaroom.jp/,,"2024-02-29 木曜日 9時00分～22時00分
2024-03-01 金曜日 9時00分～22時00分
2024-03-02 土曜日 9時00分～22時00分
2024-03-03 日曜日 9時00分～22時00分
2024-03-04 月曜日 9時00分～22時00分
2024-03-05 火曜日 9時00分～22時00分
2024-03-06 水曜日 9時00分～22時00分",1.0,139.7305757,35.7081165,東京,江戸川橋駅,281.0,江戸川橋駅|神楽坂駅|早稲田駅|牛込神楽坂駅|牛込柳町駅|茗荷谷駅|護国寺駅|飯田橋駅|若松河田駅|面影橋駅,0.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|feature:24h|feature:midnight,0,,0
㈱フラオリタヒチ,〒140-0013 東京都品川区南大井３丁目２０-１１ 伊藤ビル 201,,https://www.hulaoritahiti.jp/,03-6433-2981,LGBTQ フレンドリー,1.0,139.7350657,35.5886149,東京,大森海岸駅,108.0,大森海岸駅|大森駅|平和島駅|立会川駅|流通センター駅|大森町駅|西大井駅|鮫洲駅,0.0,品川区,品川,品川|五反田|大井町|目黒,area:品川,0,,0
[吉祥寺ダンススタジオ] Studio Amrita NORTH,〒180-0004 東京都武蔵野市吉祥寺本町２丁目５-１０ いちご吉祥寺ビル B1,,http://rental.studioamrita.com/,0422-23-6611,"LGBTQ フレンドリー2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.5788454,35.7069875,東京,吉祥寺駅,436.0,吉祥寺駅,1.0,武蔵野市,吉祥寺,吉祥寺,area:吉祥寺|station:吉祥寺駅|feature:24h|feature:midnight,0,,0
新宿レンタルスタジオ アルファ,〒160-0022 東京都新宿区８ 新宿5丁目8番21号 サンジュリ23号室,,https://studioalpha88.wixsite.com/advisor-consult-jp,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.7091477,35.6925567,東京,新宿駅,823.0,新宿駅|西武新宿駅,2.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:新宿駅|station:西武新宿駅|feature:24h|feature:midnight,0,,0
【レンタルスタジオ】SPICY CANDY【ボディメイク】,〒111-0053 東京都台東区浅草橋４丁目２-８ 伊藤ビル １F,,https://www.instabase.jp/space/6730746951,03-3862-3939,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.7822479,35.6979294,東京,秋葉原駅,730.0,秋葉原駅|蔵前駅,2.0,台東区,上野,上野|浅草|御徒町|蔵前,area:上野|station:秋葉原駅|station:蔵前駅|feature:24h|feature:midnight,0,,0
BUZZ レンタルスタジオ新宿4丁目店,〒160-0022 東京都新宿区新宿４丁目２-２１ 相模ビル B1F,,,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.7033232,35.6889262,東京,新宿駅,355.0,新宿駅|代々木駅|西武新宿駅,3.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:新宿駅|station:代々木駅|station:西武新宿駅|feature:24h|feature:midnight,0,,0
スタジオジパング 新宿スタジオSTANDARD,〒160-0022 東京都新宿区新宿５丁目１０-２０ JKKグループ本社ビル1F,,http://studiozipang.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.708383,35.6927705,東京,新宿駅,762.0,新宿駅|西武新宿駅,2.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:新宿駅|station:西武新宿駅|feature:24h|feature:midnight,0,,0
レンタルスタジオマイレッスン 新宿御苑前,〒160-0022 東京都新宿区新宿１丁目１７-１,,https://www.my-lesson.jp/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.7118737,35.6891993,東京,新宿駅,1066.0,新宿駅|代々木駅,2.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:新宿駅|station:代々木駅|feature:24h|feature:midnight,0,,0
レンタルスタジオ 301,〒160-0021 東京都新宿区歌舞伎町２丁目８-１２ 新宿グリーンプラザ 301号,,,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.7060865,35.6950309,東京,西武新宿駅,507.0,西武新宿駅|新宿駅|新大久保駅,3.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h|feature:midnight,0,,0
【福岡校】YKAダンススタジオ,〒812-0023 福岡県福岡市博多区奈良屋町１-１８ ハードビル 3階,,https://yka-fukuoka.com/,080-4624-9889,"2024-02-29 木曜日 16時00分～22時00分
2024-03-01 金曜日 16時00分～22時00分
2024-03-02 土曜日 12時30分～22時00分
2024-03-03 日曜日 12時30分～22時00分
2024-03-04 月曜日 16時00分～22時00分
2024-03-05 火曜日 16時00分～22時00分
2024-03-06 水曜日 16時00分～22時00分
",1.0,130.4065567,33.5986406,東京,呉服町駅,294.0,呉服町駅|中洲川端駅|千代県庁口駅|櫛田神社前駅|祇園駅|天神駅|天神南駅|西鉄福岡（天神）駅|博多駅|渡辺通駅,0.0,その他,その他,その他,feature:24h|feature:midnight,0,,0
ENCE Rental Studio 四谷三丁目【新宿エリアのレンタルスタジオ】,〒160-0017 東京都新宿区左門町１-１７ アパルトマン 四谷 102,,http://encerentalstudio.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.7215167,35.6872713,東京,四谷三丁目駅,109.0,四谷三丁目駅|曙橋駅|四ツ谷駅|信濃町駅|新宿御苑前駅|国立競技場駅|千駄ケ谷駅|市ケ谷駅|若松河田駅|麹町駅,0.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|feature:24h|feature:midnight,0,,0
BUZZ レンタルスタジオ 代々木店,〒151-0053 東京都渋谷区代々木１丁目３６-１ ミユキビル B1F,,,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.7012401,35.6842213,東京,代々木駅,148.0,代々木駅|新宿駅,2.0,渋谷区,渋谷,渋谷|恵比寿|代官山|原宿,area:渋谷|station:代々木駅|station:新宿駅|feature:24h|feature:midnight,0,,0
?JDS 自由が丘のレンタルスタジオ,〒152-0035 東京都目黒区自由が丘１丁目３-２２ JSDスタジオ,,http://jiyugaokastudio.com/,03-3718-9228,"2024-02-29 木曜日 9時00分～23時30分
2024-03-01 金曜日 9時00分～23時30分
2024-03-02 土曜日 9時00分～23時30分
2024-03-03 日曜日 9時00分～23時30分
2024-03-04 月曜日 9時00分～23時30分
2024-03-05 火曜日 9時00分～23時30分
2024-03-06 水曜日 9時00分～23時30分
",1.0,139.6707803,35.6092993,東京,自由が丘駅,278.0,自由が丘駅,1.0,目黒区,中目黒,中目黒,area:中目黒|station:自由が丘駅|feature:24h|feature:midnight,0,,0
レンタルスペース「301」,〒160-0021 東京都新宿区歌舞伎町２丁目８-１２ 新宿グリーンプラザ 301号,,,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.7060865,35.6950309,東京,西武新宿駅,507.0,西武新宿駅|新宿駅|新大久保駅,3.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h|feature:midnight,0,,0
レンタルスタジオ「Ten（テン）」,〒160-0021 東京都新宿区歌舞伎町２丁目８-１２ 新宿グリーンプラザ 303号,,,,"2024-02-29 木曜日 6時00分～23時30分
2024-03-01 金曜日 6時00分～23時30分
2024-03-02 土曜日 6時00分～23時30分
2024-03-03 日曜日 6時00分～23時30分
2024-03-04 月曜日 6時00分～23時30分
2024-03-05 火曜日 6時00分～23時30分
2024-03-06 水曜日 6時00分～23時30分
",1.0,139.7060865,35.6950309,東京,西武新宿駅,507.0,西武新宿駅|新宿駅|新大久保駅,3.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h|feature:midnight,0,,0
Studio.m 新宿レンタルスタジオ,〒160-0022 東京都新宿区新宿５丁目１５?号２ 池与ビル ２０３,,https://studioaqua88.wixsite.com/my-site,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.707105,35.693592,東京,西武新宿駅,642.0,西武新宿駅|新宿駅|新大久保駅,3.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h|feature:midnight,0,,0
A la neigeバレエ,〒150-0043 東京都渋谷区道玄坂１丁目１９-１１ 寿道玄坂ビル B１,,https://www.alaneige.co.jp/,080-3395-4887,"2024-02-29 木曜日 9時00分～23時00分
2024-03-01 金曜日 9時00分～23時00分
2024-03-02 土曜日 9時00分～23時00分
2024-03-03 日曜日 9時00分～23時00分
2024-03-04 月曜日 9時00分～23時00分
2024-03-05 火曜日 9時00分～23時00分
2024-03-06 水曜日 9時00分～23時00分
",1.0,139.6959558,35.6568978,東京,渋谷駅,529.0,渋谷駅,1.0,渋谷区,渋谷,渋谷|恵比寿|代官山|原宿,area:渋谷|station:渋谷駅|feature:24h|feature:midnight,0,,0
A-KIDS DANCE STUDIO,〒191-0011 東京都日野市日野本町４丁目５-５ ＨＳビル 2F,,http://www.akidsdancestudio.com/,080-5884-7544,"オーナーが女性と確認されたビジネス2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.396024,35.6795196,東京,日野駅,178.0,日野駅,0.0,日野市,日野,日野,area:日野|feature:24h|feature:midnight,0,,0
A.K.バレエスタジオ,〒201-0013 東京都狛江市元和泉１丁目２-１ 貸スタジオノタリーノ2F HOPOホール,,https://akballetstudio.amebaownd.com/,080-7852-0777,,1.0,139.5781102,35.6334684,東京,狛江駅,127.0,狛江駅|和泉多摩川駅|喜多見駅|登戸駅,0.0,狛江市,狛江,狛江,area:狛江,0,,0
すむぞう 代々木スタジオ,〒151-0053 東京都渋谷区代々木１丁目４５-７ C's YOYOGI 4F,,,,,1.0,139.6978137,35.6822461,東京,代々木駅,392.0,代々木駅|新宿駅,2.0,渋谷区,渋谷,渋谷|恵比寿|代官山|原宿,area:渋谷|station:代々木駅|station:新宿駅,0,,0
DL Studio,〒151-0053 東京都渋谷区代々木１丁目４５-４ 地下2階 代々木山陽ビル,,http://www.instabase.jp/rooms/2630,,,1.0,139.6982172,35.6822863,東京,代々木駅,356.0,代々木駅|新宿駅,2.0,渋谷区,渋谷,渋谷|恵比寿|代官山|原宿,area:渋谷|station:代々木駅|station:新宿駅,0,,0
a.Music Studio,〒170-0005 東京都豊島区南大塚２丁目３９-１１ ヒサビル 5階,,https://www.amusicstudio.info/,080-7354-1200,"LGBTQ フレンドリー2024-02-29 木曜日 9時00分～23時00分
2024-03-01 金曜日 8時00分～23時00分
2024-03-02 土曜日 8時00分～23時00分
2024-03-03 日曜日 8時00分～23時00分
2024-03-04 月曜日 9時00分～23時00分
2024-03-05 火曜日 9時00分～23時00分
2024-03-06 水曜日 9時00分～23時00分
",1.0,139.7308051,35.7295282,東京,大塚駅,343.0,大塚駅|新大塚駅|向原駅|巣鴨新田駅|巣鴨駅|東池袋四丁目駅|庚申塚駅|東池袋駅|護国寺駅|千石駅,0.0,豊島区,池袋,池袋|目白|大塚|巣鴨,area:池袋|feature:24h|feature:midnight,0,,0
A.R.P studio,〒164-0011 東京都中野区中央２丁目５８-21 B1,,http://arpstudio.main.jp/,03-5358-9841,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.6785113,35.7012934,東京,中野坂上駅,574.0,中野坂上駅|東中野駅|新中野駅|中野新橋駅|落合駅|中野駅|西新宿五丁目駅（清水橋）|西新宿駅|中野富士見町駅|大久保駅,0.0,中野区,中野,中野,area:中野|feature:24h|feature:midnight,0,,0
AAPA 日の出町団地スタジオ,〒120-0021 東京都足立区日ノ出町２７ 日の出町団地１号棟 １０３,,https://aapa.jp/,070-6457-8036,,1.0,139.8073113,35.7517721,東京,北千住駅,287.0,北千住駅,1.0,足立区,北千住,北千住,area:北千住|station:北千住駅,0,,0
studio SLASH,〒151-0064 東京都渋谷区上原１丁目２１-１０ B1,,http://slash-jpn.com/studio/,,"2024-02-29 木曜日 11時00分～12時00分
2024-03-01 金曜日 13時00分～14時30分
2024-03-02 土曜日 13時00分～21時30分
2024-03-03 日曜日 13時00分～18時20分
2024-03-04 月曜日 11時00分～12時00分
2024-03-05 火曜日 14時00分～15時15分
2024-03-06 水曜日 12時15分～15時15分
",1.0,139.6824912,35.6682287,東京,代々木上原駅,264.0,代々木上原駅|代々木八幡駅|代々木公園駅|東北沢駅|駒場東大前駅|幡ヶ谷駅|池ノ上駅|初台駅|笹塚駅|参宮橋駅,0.0,渋谷区,渋谷,渋谷|恵比寿|代官山|原宿,area:渋谷|feature:24h|feature:midnight,0,,0
ABC明大前スタ,〒156-0043 東京都世田谷区松原１丁目２４-１１,,https://ameblo.jp/meidaimae2011/entry-12532735132.html,090-2143-8422,,1.0,139.6525717,35.6655753,東京,明大前駅,370.0,明大前駅|東松原駅|新代田駅|代田橋駅|下高井戸駅|梅ヶ丘駅|松原駅|世田谷代田駅|下北沢駅|豪徳寺駅,0.0,世田谷区,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,area:下北沢,0,,0
ACCA STUDIO,〒130-0005 東京都墨田区東駒形３丁目１９-１３,,https://acca-studio.com/,03-5637-8639,"2024-02-29 木曜日 9時00分～19時00分
2024-03-01 金曜日 9時00分～19時00分
2024-03-02 土曜日 定休日
2024-03-03 日曜日 定休日
2024-03-04 月曜日 9時00分～19時00分
2024-03-05 火曜日 9時00分～19時00分
2024-03-06 水曜日 9時00分～19時00分
",1.0,139.8040147,35.707228,東京,押上駅,681.0,押上駅|浅草駅|蔵前駅,3.0,墨田区,錦糸町,錦糸町,area:錦糸町|station:押上駅|station:浅草駅|station:蔵前駅|feature:24h|feature:midnight,0,,0
ACEスタジオ馬喰町日本橋,〒103-0003 東京都中央区日本橋横山町７-１９ イチオクビル 地下１階 7-19第３５,,https://mestudio.tokyo/,090-1261-7939,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.78379,35.6934479,東京,秋葉原駅,1042.0,秋葉原駅,1.0,中央区,銀座,銀座|日本橋|八丁堀|月島,area:銀座|station:秋葉原駅|feature:24h|feature:midnight,0,,0
ACFit 赤坂見附スタジオ,〒107-0052 東京都港区赤坂３丁目４-３ 赤坂マカベビル B1F,,,03-3560-9212,"2024-02-29 木曜日 8時00分～22時00分
2024-03-01 金曜日 8時00分～22時00分
2024-03-02 土曜日 8時30分～14時30分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 8時00分～22時00分
2024-03-05 火曜日 8時00分～22時00分
2024-03-06 水曜日 8時00分～22時00分
",1.0,139.7384039,35.6741686,東京,赤坂駅,160.0,赤坂駅,1.0,港区,六本木,六本木|赤坂|麻布|新橋,area:六本木|station:赤坂駅|feature:24h|feature:midnight,0,,0
AK BALLET SCHOOL浦安,〒279-0003 千葉県浦安市海楽１丁目２-６ 2F Room3,,https://www.ak-bs.com/,080-6988-2229,"2024-02-29 木曜日 10時00分～21時00分
2024-03-01 金曜日 10時00分～21時00分
2024-03-02 土曜日 10時00分～21時00分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 10時00分～21時00分
2024-03-05 火曜日 10時00分～21時00分
2024-03-06 水曜日 17時00分～21時00分
",1.0,139.902579,35.6529332,東京,新浦安駅,975.0,新浦安駅|浦安駅,0.0,その他,その他,その他,feature:24h|feature:midnight,0,,0
ALOK DANCE DORAMA COMPANY,〒169-0073 東京都新宿区百人町１丁目１３-９,,http://alokddc.wordpress.com/,03-5386-8192,"LGBTQ フレンドリー2024-02-29 木曜日 9時00分～22時00分
2024-03-01 金曜日 9時00分～22時00分
2024-03-02 土曜日 9時00分～22時00分
2024-03-03 日曜日 9時00分～22時00分
2024-03-04 月曜日 9時00分～22時00分
2024-03-05 火曜日 9時00分～22時00分
2024-03-06 水曜日 9時00分～22時00分",1.0,139.6990848,35.698917,東京,新大久保駅,279.0,新大久保駅|西武新宿駅|新宿駅,3.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:新大久保駅|station:西武新宿駅|station:新宿駅|feature:24h|feature:midnight,0,,0
